tag,key_no,pavillon,local,utilisation,departement,quantite,remarque
45,N1251,(J) Judith-Jasmin ,j,Armoires grises - corridor,Atelier,,
45,242,,,,,,
46,91751,(R) Sciences de la gestion ,R-2120,CAD,Gestion,,
46,61693,(R) Sciences de la gestion ,R-2630,CAD ,Gestion,,
47,77,(J) Judith-Jasmin ,J-2210,Ordinateur,Audio. Comptoir J,,
48,590,(CS)Centre sportif ,J-2560,Salle de montage MII AVID Alarme,Production,,
49,40,(CS)Centre sportif ,CS-R020,Meuble audio mobile,Sport,,
49,40,(CS)Centre sportif ,CS-R020,Meuble audio mobile,Sport,,
50,01,(CS)Centre sportif ,CS-R010,Meuble audio mobile,Sport,,
50,01,(CS)Centre sportif ,CS-R010,Meuble audio mobile,Sport,,
51,38,(CS)Centre sportif ,CS-3S01,Meuble audio mobile,Sport,,
51,38,(CS)Centre sportif ,CS-3S01,Meuble audio mobile,Sport,,
52,01,(J) Judith-Jasmin ,J-2625,Cabinets vidéoconférence,Vidéoconférence,,
52,188,(J) Judith-Jasmin ,J-2625,Vidéoconférence,Vidéoconférence,,
52,282,(J) Judith-Jasmin ,J-2625,Vidéoconférence,Vidéoconférence,,
53,B399A,(CS)Centre sportif ,cs,Cabinets 1 et 2 système sonore,Sport,,
53,B644A,(CS)Centre sportif ,CS-3S018,Gymnase triple,Sport,,
54,213/12,(J) Judith-Jasmin ,J-2430,Classeur,Atelier,,
55,PL46,(PK) Président-Kennedy ,PK-1305,Comptoir de prêts SAV ,SAV,,
56,8R59,(DE) Design,DE-4580,,,,
57,BL46,(N) Paul-Gérin-Lajoie,N-7050,Projecteur vidéo,Kinanthropologie,,
58,016 APPLE,,C420A-A,,,,
58,BK8,(K) Danse ,K-1150,Meuble pour S-Zone,Danse,,
58,BK18,(K) Danse ,K-3105 & 4445,Cadenas AVID,Danse,,
58,BK49,(K) Danse ,K-3105 & 4445,,Danse,,
58,BK8,(K) Danse ,K-3105 & 4445,Vieux AVID,Danse,,
58,BK32,(K) Danse ,K-3105 & 4445,,Danse,,
59,VFI B644A-RD,(R) Sciences de la gestion ,R-2630/R-2670,Meuble VFI,,,
60,95LA,(J) Judith-Jasmin ,J,Passe-partout,Arts plastiques,,
60,102,(J) Judith-Jasmin ,J-R308/J-R309,Arts médiatiques,Arts plastiques,,
60,ZLL47,(J) Judith-Jasmin ,J-R308/J-R309,Arts médiatiques,Arts plastiques,,
60,ZLL44,(J) Judith-Jasmin ,J-R308/J-R309,Arts médiatiques,Arts plastiques,,
60,ZLL45,(J) Judith-Jasmin ,J-R308/J-R309,Arts médiatiques,Arts plastiques,,
60,ZLL46,(J) Judith-Jasmin ,J-R308/J-R309,Arts médiatiques,Arts plastiques,,
60,301,(J) Judith-Jasmin ,J-R308/J-R310,Arts médiatiques,Arts plastiques,7,
60,102,(J) Judith-Jasmin ,J-R308/J-R317,Arts médiatiques,Arts plastiques,3,
60,11679,(J) Judith-Jasmin ,J-R308/J-R320,Arts médiatiques,Arts plastiques,2,
60,157,(J) Judith-Jasmin ,J-R308/J-R322,Arts médiatiques,Arts plastiques,,
